Student_ID,Score,Major,Graduation_Year,Pass_Fail,Letter_Grade
1000,61.97,Computer Science,2030,True,D
1001,62.04,Engineering,2025,True,D
1002,78.37,Engineering,2024,True,C
1003,53.94,Computer Science,2028,False,F
1004,86.6,Engineering,2024,True,B
1005,90.8,Biology,2029,True,A
1006,98.9,Computer Science,2030,True,A
1007,76.64,Computer Science,2025,True,C
1008,56.29,Physics,2027,False,F
1009,82.99,Computer Science,2024,True,B
1010,97.34,Computer Science,2028,True,A
1011,58.26,Physics,2025,False,F
1012,76.38,Biology,2028,True,C
1013,80.33,Computer Science,2028,True,B
1014,98.22,Biology,2024,True,A
1015,96.45,Biology,2028,True,A
1016,87.76,Computer Science,2024,True,B
1017,84.49,Engineering,2027,True,B
1018,85.65,Physics,2029,True,B
1019,69.95,Computer Science,2028,True,D
1020,83.58,Computer Science,2028,True,B
1021,68.67,Engineering,2028,True,D
1022,94.98,Mathematics,2026,True,A
1023,72.57,Physics,2026,True,C
1024,62.4,Physics,2025,True,D
1025,53.2,Biology,2029,False,F
1026,51.05,Biology,2029,False,F
1027,77.7,Computer Science,2026,True,C
1028,79.42,Computer Science,2025,True,C
1029,50.36,Mathematics,2026,False,F
1030,85.39,Biology,2027,True,B
1031,52.94,Engineering,2025,False,F
1032,53.37,Mathematics,2029,False,F
1033,51.57,Engineering,2029,False,F
1034,66.52,Engineering,2026,True,D
1035,75.71,Engineering,2027,True,C
1036,63.92,Engineering,2026,True,D
1037,74.27,Physics,2030,True,C
1038,76.96,Computer Science,2024,True,C
1039,86.17,Mathematics,2024,True,B
1040,94.12,Computer Science,2027,True,A
1041,78.81,Engineering,2028,True,C
1042,62.15,Computer Science,2028,True,D
1043,73.65,Mathematics,2024,True,C
1044,70.35,Computer Science,2024,True,C
1045,54.72,Physics,2028,False,F
1046,82.95,Biology,2025,True,B
1047,67.71,Physics,2028,True,D
1048,70.56,Computer Science,2026,True,C
1049,93.19,Physics,2025,True,A
